solar_wind_speed,solar_wind_density,bz_component,solar_wind_pressure,bz_min_3h,dst_index,bz_dst_interaction,dst_rate_change,sin_month,cos_month,bz_negative,is_solar_maximum,season_automne,season_ete,season_hiver,season_printemps,hour_interval_0h-3h,hour_interval_3h-6h,hour_interval_6h-9h,hour_interval_9h-12h,hour_interval_12h-15h,hour_interval_15h-18h,hour_interval_18h-21h,hour_interval_21h-24h,is_storm
-0.8220338983050848,0.9782608695652175,1.0714285714285714,0.044374618785312105,1.3076923076923077,0.4666666666666667,-0.08823529411764706,0.42857142857142855,-0.8660254037844386,0.5000000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7966101694915254,-0.3478260869565219,-1.1428571428571428,-0.019859062347068353,-0.8461538461538461,-1.4666666666666666,4.745098039215686,0.0,-1.0,-1.8369701987210294e-16,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.22033898305084745,-0.08695652173913052,-1.7142857142857144,-0.3329672314043967,-1.7307692307692306,-2.1333333333333333,9.470588235294118,-1.8571428571428572,-0.8660254037844386,0.5000000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.3813559322033898,-0.32608695652173925,-1.1785714285714286,-0.2500282028555772,-0.8846153846153845,-1.4666666666666666,4.887254901960785,0.7142857142857143,1.2246467991473532e-16,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0254237288135593,0.10869565217391305,0.4285714285714286,1.1128351184659455,-0.7692307692307692,-0.06666666666666667,-0.48039215686274517,-1.1428571428571428,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1.1016949152542372,-0.565217391304348,0.0,-0.2890264958907543,0.3846153846153846,-2.533333333333333,0.35294117647058826,1.1428571428571428,0.4999999999999999,-0.8660254037844387,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.22033898305084745,0.45652173913043476,-1.0,0.25711136055314543,-0.6923076923076923,0.13333333333333333,0.6470588235294118,-0.2857142857142857,-0.8660254037844386,0.5000000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.3305084745762712,-0.4130434782608697,-1.4285714285714286,-0.41236042908380327,-1.1538461538461537,-0.9333333333333333,4.23529411764706,-1.8571428571428572,-1.0,-1.8369701987210294e-16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-0.6271186440677966,1.3695652173913042,1.8571428571428574,0.5988707076128573,-0.5384615384615385,-1.1333333333333333,-5.970588235294118,1.2857142857142858,-0.8660254037844386,0.5000000000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.2542372881355932,-0.1521739130434783,0.7857142857142858,-0.07625201743983957,0.5769230769230769,-0.2,-1.0686274509803924,-0.14285714285714285,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
