timestamp,bz_component,solar_wind_density,solar_wind_speed,solar_wind_pressure,kp_index,dst_index,ap_index
2023-09-01 00:30:00,-2.1,6.1,379.0,1.62,27,3,12
2023-09-01 01:30:00,-0.4,5.9,420.0,1.89,27,2,12
2023-09-01 02:30:00,-1.9,4.5,422.0,1.46,27,2,12
2023-09-01 03:30:00,-2.6,5.6,366.0,1.4,27,2,12
2023-09-01 04:30:00,-5.4,4.9,370.0,1.31,27,3,12
2023-09-01 05:30:00,-5.7,3.7,421.0,1.2,27,-3,12
2023-09-01 06:30:00,-4.9,5.7,371.0,1.48,27,-8,12
2023-09-01 07:30:00,-3.5,7.3,376.0,1.94,27,-8,12
2023-09-01 08:30:00,-3.9,8.9,380.0,2.4,27,-8,12
2023-09-01 09:30:00,-1.5,8.8,393.0,2.56,30,-7,15
2023-09-01 10:30:00,0.3,8.7,379.0,2.46,30,-2,15
2023-09-01 11:30:00,-4.1,9.5,393.0,2.82,30,-1,15
2023-09-01 12:30:00,-4.9,9.4,409.0,3.03,33,-8,18
2023-09-01 13:30:00,0.2,9.3,404.0,3.01,33,-16,18
2023-09-01 14:30:00,-2.0,8.4,392.0,2.54,33,-18,18
2023-09-01 15:30:00,3.2,7.9,395.0,2.39,27,-19,12
2023-09-01 16:30:00,3.8,6.2,398.0,1.9,27,-12,12
2023-09-01 17:30:00,1.8,5.0,394.0,1.55,27,-7,12
2023-09-01 18:30:00,-3.6,5.2,411.0,1.77,27,-7,12
2023-09-01 19:30:00,-3.6,5.2,430.0,1.91,27,-13,12
2023-09-01 20:30:00,2.6,2.3,514.0,1.19,27,-9,12
2023-09-01 21:30:00,-0.4,2.5,522.0,1.36,13,-12,5
2023-09-01 22:30:00,2.4,2.5,540.0,1.46,13,-9,5
2023-09-01 23:30:00,2.6,2.9,567.0,1.87,13,-5,5
2023-09-02 00:30:00,2.6,3.3,558.0,2.11,33,-5,18
2023-09-02 01:30:00,2.3,3.7,559.0,2.23,33,-4,18
2023-09-02 02:30:00,-1.9,3.4,544.0,1.93,33,-2,18
2023-09-02 03:30:00,-3.2,3.1,564.0,1.91,43,-6,32
2023-09-02 04:30:00,-5.3,3.7,599.0,2.64,43,-5,32
2023-09-02 05:30:00,-2.2,3.7,616.0,2.74,43,-21,32
2023-09-02 06:30:00,-3.6,3.2,703.0,2.92,47,-27,39
2023-09-02 07:30:00,-6.4,2.8,712.0,2.63,47,-29,39
2023-09-02 08:30:00,-7.7,3.1,716.0,2.98,47,-43,39
2023-09-02 09:30:00,-5.8,3.2,710.0,3.01,47,-61,39
2023-09-02 10:30:00,-5.3,3.1,640.0,2.39,47,-59,39
2023-09-02 11:30:00,-5.1,4.6,650.0,3.57,47,-57,39
2023-09-02 12:30:00,-4.3,5.2,603.0,3.5,50,-61,48
2023-09-02 13:30:00,-4.8,4.7,573.0,3.08,50,-50,48
2023-09-02 14:30:00,-5.0,4.5,561.0,2.88,50,-55,48
2023-09-02 15:30:00,-2.0,4.7,547.0,2.89,43,-62,32
2023-09-02 16:30:00,1.8,5.6,570.0,3.72,43,-55,32
2023-09-02 17:30:00,-2.3,5.4,565.0,3.52,43,-43,32
2023-09-02 18:30:00,-2.2,5.6,559.0,3.53,43,-39,32
2023-09-02 19:30:00,-5.0,5.3,557.0,3.3,43,-43,32
2023-09-02 20:30:00,-5.9,4.5,547.0,2.58,43,-49,32
2023-09-02 21:30:00,-1.7,8.5,566.0,4.82,53,-45,56
2023-09-02 22:30:00,-1.0,9.9,556.0,5.29,53,-40,56
2023-09-02 23:30:00,-5.7,15.9,546.0,8.23,53,-33,56
2023-09-03 00:30:00,-0.3,20.4,539.0,10.69,53,-41,56
2023-09-03 01:30:00,-1.5,22.3,534.0,11.51,53,-38,56
2023-09-03 02:30:00,2.0,24.0,527.0,12.29,53,-20,56
2023-09-03 03:30:00,2.3,25.2,515.0,12.5,37,-12,22
2023-09-03 04:30:00,0.7,19.1,507.0,8.89,37,-14,22
2023-09-03 05:30:00,-3.6,13.6,497.0,5.95,37,-21,22
2023-09-03 06:30:00,-0.5,10.6,492.0,4.85,43,-32,32
2023-09-03 07:30:00,-2.0,14.6,495.0,6.67,43,-22,32
2023-09-03 08:30:00,-2.2,9.8,481.0,4.24,43,-29,32
2023-09-03 09:30:00,-2.7,4.2,483.0,1.85,33,-31,18
2023-09-03 10:30:00,-3.3,2.8,479.0,1.18,33,-27,18
2023-09-03 11:30:00,-2.0,4.9,466.0,1.95,33,-23,18
2023-09-03 12:30:00,-1.8,5.8,465.0,2.27,33,-29,18
2023-09-03 13:30:00,-0.2,6.5,459.0,2.47,33,-29,18
2023-09-03 14:30:00,-2.0,9.4,455.0,3.7,33,-29,18
2023-09-03 15:30:00,-2.9,6.8,456.0,2.66,30,-35,15
2023-09-03 16:30:00,-2.7,8.6,461.0,3.48,30,-32,15
2023-09-03 17:30:00,-2.2,8.9,451.0,3.41,30,-26,15
2023-09-03 18:30:00,-0.7,7.9,449.0,3.07,13,-24,5
2023-09-03 19:30:00,-1.0,7.6,445.0,2.85,13,-23,5
2023-09-03 20:30:00,0.3,7.5,442.0,2.75,13,-23,5
2023-09-03 21:30:00,-2.7,5.0,442.0,1.77,30,-23,15
2023-09-03 22:30:00,-2.2,5.3,446.0,1.9,30,-26,15
2023-09-03 23:30:00,-2.8,5.7,443.0,2.03,30,-29,15
2023-09-04 00:30:00,-1.8,4.2,431.0,1.4,27,-34,12
2023-09-04 01:30:00,-1.4,4.1,426.0,1.34,27,-34,12
2023-09-04 02:30:00,-0.5,3.9,406.0,1.16,27,-30,12
2023-09-04 03:30:00,-0.5,4.4,409.0,1.32,23,-24,9
2023-09-04 04:30:00,0.5,4.3,407.0,1.27,23,-22,9
2023-09-04 05:30:00,0.7,3.7,401.0,1.07,23,-21,9
2023-09-04 06:30:00,-0.1,4.9,402.0,1.4,10,-16,4
2023-09-04 07:30:00,-0.9,5.2,402.0,1.49,10,-14,4
2023-09-04 08:30:00,0.2,4.8,398.0,1.35,10,-13,4
2023-09-04 09:30:00,0.1,5.1,413.0,1.55,10,-9,4
2023-09-04 10:30:00,0.9,5.2,409.0,1.55,10,-8,4
2023-09-04 11:30:00,0.9,4.9,406.0,1.46,10,-9,4
2023-09-04 12:30:00,0.9,5.5,405.0,1.64,13,-14,5
2023-09-04 13:30:00,-0.8,4.7,396.0,1.34,13,-18,5
2023-09-04 14:30:00,-1.7,3.9,396.0,1.13,13,-20,5
2023-09-04 15:30:00,-3.4,4.2,395.0,1.22,20,-17,7
2023-09-04 16:30:00,-0.8,3.2,390.0,0.89,20,-17,7
2023-09-04 17:30:00,0.9,4.4,395.0,1.27,20,-18,7
2023-09-04 18:30:00,1.9,4.9,398.0,1.45,20,-13,7
2023-09-04 19:30:00,1.9,4.9,383.0,1.37,20,-11,7
2023-09-04 20:30:00,0.6,4.7,378.0,1.29,20,-13,7
2023-09-04 21:30:00,0.1,4.2,370.0,1.11,0,-14,0
2023-09-04 22:30:00,1.8,4.2,369.0,1.09,0,-15,0
2023-09-04 23:30:00,1.4,3.9,377.0,1.03,0,-15,0
2023-09-05 00:30:00,0.7,4.3,390.0,1.21,7,-13,3
2023-09-05 01:30:00,0.8,4.0,381.0,1.04,7,-9,3
2023-09-05 02:30:00,0.8,3.3,382.0,0.9,7,-4,3
2023-09-05 03:30:00,0.5,2.6,379.0,0.7,7,-4,3
2023-09-05 04:30:00,0.1,2.7,382.0,0.75,7,-2,3
2023-09-05 05:30:00,-0.2,4.2,388.0,1.26,7,-1,3
2023-09-05 06:30:00,0.7,4.2,369.0,1.17,3,-1,2
2023-09-05 07:30:00,1.3,3.6,368.0,1.0,3,-2,2
2023-09-05 08:30:00,0.3,4.9,386.0,1.48,3,2,2
2023-09-05 09:30:00,0.1,4.7,388.0,1.41,10,3,4
2023-09-05 10:30:00,3.4,4.4,390.0,1.37,10,3,4
2023-09-05 11:30:00,2.5,4.6,369.0,1.29,10,5,4
2023-09-05 12:30:00,-0.2,4.2,375.0,1.27,17,2,6
2023-09-05 13:30:00,-0.2,4.6,377.0,1.42,17,-1,6
2023-09-05 14:30:00,-1.9,4.9,369.0,1.47,17,-2,6
2023-09-05 15:30:00,-2.5,8.3,410.0,2.99,40,3,27
2023-09-05 16:30:00,-3.8,12.8,435.0,4.81,40,5,27
2023-09-05 17:30:00,0.8,10.8,417.0,3.58,40,0,27
2023-09-05 18:30:00,-3.0,7.4,404.0,2.16,37,-3,22
2023-09-05 19:30:00,-2.3,8.1,408.0,2.38,37,-12,22
2023-09-05 20:30:00,1.3,11.9,417.0,3.65,37,-10,22
2023-09-05 21:30:00,1.2,9.0,429.0,2.91,17,-9,6
2023-09-05 22:30:00,1.0,6.1,431.0,2.0,17,-10,6
