timestamp,bz_component,solar_wind_density,solar_wind_speed,solar_wind_pressure,kp_index,dst_index,ap_index
2022-03-01 00:30:00,-1.6,2.1,470,0.93,20,2,7
2022-03-01 01:30:00,2.2,2.6,495,1.27,20,5,7
2022-03-01 02:30:00,1.7,2.5,485,1.18,20,5,7
2022-03-01 03:30:00,2.5,2.6,486,1.07,20,4,7
2022-03-01 04:30:00,0.8,2.4,495,1.1,20,0,7
2022-03-01 05:30:00,1.9,2.3,477,1.05,20,1,7
2022-03-01 06:30:00,-1.2,2.7,491,1.3,23,2,9
2022-03-01 07:30:00,-2.0,2.7,516,1.24,23,-3,9
2022-03-01 08:30:00,-1.6,2.3,508,1.05,23,-8,9
2022-03-01 09:30:00,1.8,3.3,522,1.57,20,-7,7
2022-03-01 10:30:00,3.2,3.2,536,1.65,20,-7,7
2022-03-01 11:30:00,0.8,2.8,521,1.38,20,-3,7
2022-03-01 12:30:00,-1.4,3.0,529,1.53,23,-6,9
2022-03-01 13:30:00,-1.7,2.7,524,1.36,23,-4,9
2022-03-01 14:30:00,0.4,2.9,532,1.52,23,-3,9
2022-03-01 15:30:00,-0.5,2.8,539,1.47,17,-5,6
2022-03-01 16:30:00,-0.1,2.8,547,1.52,17,-6,6
2022-03-01 17:30:00,-0.2,2.8,525,1.41,17,-4,6
2022-03-01 18:30:00,-0.8,2.8,537,1.47,23,-3,9
2022-03-01 19:30:00,-0.0,2.6,518,1.29,23,-3,9
2022-03-01 20:30:00,1.2,2.5,500,1.16,23,-3,9
2022-03-01 21:30:00,1.7,2.8,498,1.26,17,-2,6
2022-03-01 22:30:00,0.8,2.6,493,1.17,17,-1,6
2022-03-01 23:30:00,1.5,2.6,497,1.18,17,2,6
2022-03-02 00:30:00,1.0,2.6,497,1.21,7,4,3
2022-03-02 01:30:00,2.2,2.6,494,1.19,7,6,3
2022-03-02 02:30:00,-1.2,2.5,488,1.13,7,6,3
2022-03-02 03:30:00,-0.6,2.5,483,1.12,7,4,3
2022-03-02 04:30:00,-0.5,2.5,480,1.09,7,2,3
2022-03-02 05:30:00,0.3,2.6,479,1.13,7,3,3
2022-03-02 06:30:00,-0.0,2.7,475,1.14,7,5,3
2022-03-02 07:30:00,-0.7,2.7,470,1.11,7,4,3
2022-03-02 08:30:00,-1.0,2.8,465,1.11,7,4,3
2022-03-02 09:30:00,-1.1,2.8,460,1.08,17,4,6
2022-03-02 10:30:00,-0.6,2.8,460,1.08,17,4,6
2022-03-02 11:30:00,-0.2,2.7,458,1.04,17,4,6
2022-03-02 12:30:00,0.2,2.6,454,0.99,7,5,3
2022-03-02 13:30:00,0.1,2.7,454,1.03,7,5,3
2022-03-02 14:30:00,-0.3,2.6,453,0.98,7,5,3
2022-03-02 15:30:00,0.3,2.5,450,0.93,7,2,3
2022-03-02 16:30:00,-0.2,2.5,445,0.91,7,0,3
2022-03-02 17:30:00,0.3,2.4,441,0.86,7,-2,3
2022-03-02 18:30:00,0.7,2.5,438,0.88,3,-2,2
2022-03-02 19:30:00,0.7,2.5,426,0.83,3,1,2
2022-03-02 20:30:00,-0.1,2.5,421,0.82,3,2,2
2022-03-02 21:30:00,-0.9,2.8,414,0.9,10,2,4
2022-03-02 22:30:00,-0.1,2.9,413,0.93,10,3,4
2022-03-02 23:30:00,0.7,3.5,413,1.1,10,5,4
2022-03-03 00:30:00,2.2,3.3,416,1.06,3,6,2
2022-03-03 01:30:00,1.3,2.9,408,0.88,3,6,2
2022-03-03 02:30:00,1.0,3.2,395,0.9,3,4,2
2022-03-03 03:30:00,1.1,3.2,398,0.9,7,4,3
2022-03-03 04:30:00,1.6,3.3,396,0.92,7,5,3
2022-03-03 05:30:00,0.8,3.6,391,0.98,7,8,3
2022-03-03 06:30:00,0.5,3.8,383,0.99,3,10,2
2022-03-03 07:30:00,-0.5,4.2,386,1.11,3,11,2
2022-03-03 08:30:00,0.2,4.5,381,1.16,3,10,2
2022-03-03 09:30:00,0.4,4.7,377,1.18,3,9,2
2022-03-03 10:30:00,-0.1,4.4,371,1.07,3,8,2
