timestamp,bz_component,solar_wind_density,solar_wind_speed,solar_wind_pressure,kp_index,dst_index,ap_index
2021-11-01 00:30:00,-0.3,12.4,415,3.88,23,3,9
2021-11-01 01:30:00,2.3,12.5,415,3.91,23,5,9
2021-11-01 02:30:00,-2.4,12.3,416,3.82,23,4,9
2021-11-01 03:30:00,-3.2,10.6,405,3.05,27,-2,12
2021-11-01 04:30:00,-3.3,8.2,394,2.23,27,-7,12
2021-11-01 05:30:00,-2.7,8.5,389,2.23,27,-7,12
2021-11-01 06:30:00,-2.5,10.4,379,2.57,10,-8,4
2021-11-01 07:30:00,-2.5,10.6,372,2.51,10,-6,4
2021-11-01 08:30:00,-2.5,10.9,363,2.45,10,-9,4
2021-11-01 09:30:00,-2.0,10.2,359,2.24,17,-10,6
2021-11-01 10:30:00,-1.8,9.7,353,2.06,17,-6,6
2021-11-01 11:30:00,-1.3,9.2,349,1.91,17,-4,6
2021-11-01 12:30:00,-0.2,10.9,349,2.28,7,-2,3
2021-11-01 13:30:00,-0.9,15.4,350,3.23,7,3,3
2021-11-01 14:30:00,-1.2,20.2,352,4.31,7,8,3
2021-11-01 15:30:00,-0.9,23.7,351,5.01,7,10,3
2021-11-01 16:30:00,-0.3,18.3,338,3.6,7,9,3
2021-11-01 17:30:00,0.3,26.0,345,5.31,7,14,3
2021-11-01 18:30:00,0.9,27.0,353,5.82,27,18,12
2021-11-01 19:30:00,9.5,12.4,370,2.94,27,11,12
2021-11-01 20:30:00,6.8,20.9,370,4.91,27,20,12
2021-11-01 21:30:00,6.6,24.3,377,6.58,33,30,18
2021-11-01 22:30:00,4.1,11.4,388,3.6,33,25,18
2021-11-01 23:30:00,7.8,6.2,401,2.09,33,16,18
2021-11-02 00:30:00,-4.6,7.7,426,2.7,33,15,18
2021-11-02 01:30:00,-4.6,8.3,457,3.44,33,6,18
2021-11-02 02:30:00,-1.6,6.9,483,3.09,33,-3,18
2021-11-02 03:30:00,-1.4,3.5,531,1.9,47,-11,39
2021-11-02 04:30:00,-4.1,3.6,547,2.12,47,-12,39
2021-11-02 05:30:00,-2.8,4.3,567,2.8,47,-10,39
2021-11-02 06:30:00,-1.3,4.4,578,2.98,27,-12,12
2021-11-02 07:30:00,0.4,4.4,585,3.04,27,-10,12
2021-11-02 08:30:00,3.0,4.6,590,3.18,27,-7,12
