timestamp,bz_component,solar_wind_density,solar_wind_speed,solar_wind_pressure,kp_index,dst_index,ap_index
2023-08-01 00:30:00,-3.4,2.9,372,0.73,20,-12,7
2023-08-01 01:30:00,-2.4,2.9,364,0.71,20,-11,7
2023-08-01 02:30:00,-1.3,2.9,367,0.71,20,-9,7
2023-08-01 03:30:00,1.6,4.7,368,1.14,17,-5,6
2023-08-01 04:30:00,1.7,5.8,370,1.39,17,-1,6
2023-08-01 05:30:00,2.9,3.9,358,0.9,17,-4,6
2023-08-01 06:30:00,2.1,4.1,362,0.97,7,-4,3
2023-08-01 07:30:00,1.3,5.7,375,1.41,7,1,3
2023-08-01 08:30:00,1.3,7.8,380,1.99,7,6,3
2023-08-01 09:30:00,1.7,9.2,376,2.3,13,9,5
2023-08-01 10:30:00,0.8,8.7,379,2.23,13,10,5
2023-08-01 11:30:00,2.3,12.8,388,3.55,13,18,5
2023-08-01 12:30:00,1.3,13.0,389,3.65,30,16,15
2023-08-01 13:30:00,-2.3,12.3,370,3.1,30,20,15
2023-08-01 14:30:00,-2.7,23.1,391,6.25,30,24,15
2023-08-01 15:30:00,-2.6,26.7,383,7.04,27,22,12
2023-08-01 16:30:00,-2.6,23.8,391,6.44,27,20,12
2023-08-01 17:30:00,-3.4,14.8,390,4.03,27,15,12
2023-08-01 18:30:00,0.3,6.0,396,1.67,23,9,9
2023-08-01 19:30:00,1.3,9.4,381,2.45,23,14,9
2023-08-01 20:30:00,1.0,12.3,377,3.19,23,13,9
2023-08-01 21:30:00,-0.6,12.4,375,3.18,20,11,7
2023-08-01 22:30:00,-0.2,12.1,375,3.14,20,6,7
2023-08-01 23:30:00,3.1,11.1,379,2.97,20,6,7
2023-08-02 00:30:00,2.9,10.2,376,2.66,17,10,6
2023-08-02 01:30:00,2.9,10.5,387,2.77,17,15,6
2023-08-02 02:30:00,3.4,11.2,397,3.18,17,21,6
2023-08-02 03:30:00,5.4,10.7,398,2.98,13,22,5
2023-08-02 04:30:00,6.2,12.4,400,3.76,13,23,5
2023-08-02 05:30:00,0.7,7.0,395,1.89,13,12,5
2023-08-02 06:30:00,-2.9,6.1,392,1.6,10,4,4
2023-08-02 07:30:00,-4.7,6.2,391,1.62,10,-3,4
2023-08-02 08:30:00,-5.6,5.0,386,1.29,10,-9,4
2023-08-02 09:30:00,-6.4,4.9,391,1.3,33,-17,18
2023-08-02 10:30:00,-3.8,7.8,394,2.25,33,-26,18
2023-08-02 11:30:00,-7.0,7.5,395,2.22,33,-27,18
2023-08-02 12:30:00,-7.7,9.7,391,2.79,40,-32,27
2023-08-02 13:30:00,-8.6,10.9,389,3.06,40,-39,27
2023-08-02 14:30:00,-7.9,12.0,380,3.11,40,-45,27
2023-08-02 15:30:00,-6.3,14.5,373,3.61,37,-44,22
2023-08-02 16:30:00,-3.5,15.9,380,4.11,37,-39,22
2023-08-02 17:30:00,-1.5,15.3,378,3.87,37,-34,22
2023-08-02 18:30:00,-1.3,14.0,380,3.62,20,-28,7
2023-08-02 19:30:00,-2.1,12.7,381,3.3,20,-29,7
2023-08-02 20:30:00,-2.0,12.8,380,3.31,20,-32,7
2023-08-02 21:30:00,-1.2,12.5,374,3.18,17,-31,6
2023-08-02 22:30:00,-0.4,12.5,361,2.99,17,-30,6
2023-08-02 23:30:00,0.5,13.2,365,3.16,17,-24,6
2023-08-03 00:30:00,1.1,13.3,359,3.08,13,-20,5
2023-08-03 01:30:00,1.3,12.2,345,2.67,13,-19,5
2023-08-03 02:30:00,-3.2,8.3,346,1.79,13,-15,5
2023-08-03 03:30:00,-1.1,11.1,347,2.46,17,-8,6
2023-08-03 04:30:00,-0.7,12.3,348,2.78,17,-6,6
2023-08-03 05:30:00,0.4,13.0,350,3.03,17,-4,6
2023-08-03 06:30:00,1.3,13.6,348,3.25,13,-4,5
2023-08-03 07:30:00,-0.3,11.1,348,2.52,13,-5,5
2023-08-03 08:30:00,-1.0,7.9,351,1.77,13,-7,5
2023-08-03 09:30:00,-1.0,8.9,358,2.18,20,-8,7
2023-08-03 10:30:00,-2.1,5.5,365,1.36,20,-12,7
2023-08-03 11:30:00,-4.0,5.4,369,1.33,20,-10,7
2023-08-03 12:30:00,0.2,4.7,353,1.07,17,-13,6
2023-08-03 13:30:00,-0.1,5.1,348,1.12,17,-13,6
2023-08-03 14:30:00,-0.7,4.1,348,0.92,17,-13,6
2023-08-03 15:30:00,1.2,6.1,365,1.52,13,-9,5
2023-08-03 16:30:00,4.9,6.7,366,1.58,13,-7,5
2023-08-03 17:30:00,3.6,6.3,354,1.41,13,0,5
2023-08-03 18:30:00,5.1,6.6,357,1.65,3,3,2
2023-08-03 19:30:00,2.4,5.3,345,1.26,3,1,2
2023-08-03 20:30:00,2.2,4.7,339,1.12,3,-2,2
2023-08-03 21:30:00,1.5,4.9,333,1.14,3,-3,2
2023-08-03 22:30:00,1.2,4.6,329,1.07,3,-6,2
2023-08-03 23:30:00,1.0,4.5,328,1.03,3,-6,2
2023-08-04 00:30:00,0.6,4.4,324,0.98,0,-5,0
2023-08-04 01:30:00,0.4,4.0,324,0.89,0,-7,0
2023-08-04 02:30:00,0.4,4.3,326,0.95,0,-4,0
2023-08-04 03:30:00,-0.8,4.1,341,0.97,7,-1,3
2023-08-04 04:30:00,1.4,4.7,321,0.96,7,0,3
2023-08-04 05:30:00,2.4,4.4,321,0.88,7,0,3
2023-08-04 06:30:00,3.0,4.9,313,0.95,13,-2,5
2023-08-04 07:30:00,3.0,4.2,314,0.83,13,0,5
2023-08-04 08:30:00,8.9,4.8,368,1.31,13,8,5
2023-08-04 09:30:00,6.0,4.9,363,1.32,13,5,5
2023-08-04 10:30:00,-1.5,4.4,366,1.28,13,4,5
2023-08-04 11:30:00,-4.6,2.8,377,0.82,13,2,5
2023-08-04 12:30:00,-0.8,3.2,361,0.87,27,2,12
2023-08-04 13:30:00,2.4,5.4,368,1.82,27,15,12
2023-08-04 14:30:00,1.4,9.1,389,3.26,27,23,12
2023-08-04 15:30:00,-4.5,10.0,390,3.44,40,22,27
2023-08-04 16:30:00,0.9,10.2,382,3.55,40,21,27
2023-08-04 17:30:00,-4.9,11.1,372,3.75,40,20,27
2023-08-04 18:30:00,-8.1,12.8,382,4.13,40,-2,27
2023-08-04 19:30:00,-6.8,12.7,370,3.94,40,-3,27
2023-08-04 20:30:00,-6.9,12.8,382,4.03,40,-6,27
2023-08-04 21:30:00,-5.9,14.1,383,4.34,40,-16,27
2023-08-04 22:30:00,-6.9,12.9,370,3.7,40,-22,27
2023-08-04 23:30:00,-9.7,13.1,377,3.66,40,-22,27
2023-08-05 00:30:00,-10.2,12.3,390,3.61,50,-38,48
2023-08-05 01:30:00,-3.3,12.9,380,3.58,50,-53,48
2023-08-05 02:30:00,-7.1,13.7,371,3.73,50,-38,48
2023-08-05 03:30:00,-13.9,20.1,424,7.14,63,-33,94
2023-08-05 04:30:00,-12.2,18.0,432,6.37,63,-69,94
2023-08-05 05:30:00,-15.1,13.9,404,4.49,63,-89,94
2023-08-05 06:30:00,-5.3,7.4,355,2.17,53,-93,56
2023-08-05 07:30:00,9.9,12.7,364,3.32,53,-79,56
2023-08-05 08:30:00,1.5,15.1,397,4.5,53,-63,56
2023-08-05 09:30:00,-4.0,14.2,386,4.07,47,-63,39
2023-08-05 10:30:00,-9.3,13.6,385,3.74,47,-66,39
2023-08-05 11:30:00,0.1,7.4,381,2.02,47,-78,39
2023-08-05 12:30:00,0.2,3.6,376,0.97,33,-74,18
2023-08-05 13:30:00,6.2,1.5,356,0.36,33,-71,18
2023-08-05 14:30:00,5.4,2.0,357,0.48,33,-65,18
2023-08-05 15:30:00,5.4,0.7,349,0.16,17,-68,6
2023-08-05 16:30:00,5.0,0.5,347,0.12,17,-68,6
2023-08-05 17:30:00,3.9,0.5,355,0.13,17,-63,6
2023-08-05 18:30:00,3.1,0.8,364,0.24,7,-57,3
2023-08-05 19:30:00,-0.4,1.2,335,0.28,7,-52,3
2023-08-05 20:30:00,2.9,2.0,319,0.43,7,-49,3
2023-08-05 21:30:00,4.2,1.5,324,0.35,7,-45,3
2023-08-05 22:30:00,3.1,1.3,344,0.33,7,-40,3
2023-08-05 23:30:00,4.4,1.6,351,0.38,7,-39,3
2023-08-06 00:30:00,5.6,2.1,366,0.53,0,-37,0
2023-08-06 01:30:00,5.5,2.3,365,0.58,0,-37,0
2023-08-06 02:30:00,5.5,2.2,358,0.53,0,-38,0
2023-08-06 03:30:00,5.3,2.2,351,0.51,3,-36,2
2023-08-06 04:30:00,5.0,2.2,341,0.48,3,-35,2
2023-08-06 05:30:00,4.7,2.3,343,0.5,3,-34,2
