timestamp,bz_component,solar_wind_density,solar_wind_speed,solar_wind_pressure,kp_index,dst_index,ap_index
2022-11-01 00:30:00,1.1,4.7,457.0,2.0,10,-20,4
2022-11-01 01:30:00,1.6,4.7,443.0,1.89,10,-16,4
2022-11-01 02:30:00,2.8,4.8,443.0,1.85,10,-14,4
2022-11-01 03:30:00,1.9,4.3,438.0,1.62,7,-14,3
2022-11-01 04:30:00,1.6,4.2,442.0,1.63,7,-13,3
2022-11-01 05:30:00,1.6,4.0,443.0,1.55,7,-13,3
2022-11-01 06:30:00,-3.4,4.1,464.0,1.73,33,-15,18
2022-11-01 07:30:00,-3.6,4.0,450.0,1.59,33,-18,18
2022-11-01 08:30:00,-1.6,3.8,445.0,1.5,33,-23,18
2022-11-01 09:30:00,-1.3,3.8,430.0,1.41,27,-21,12
2022-11-01 10:30:00,-1.5,3.9,431.0,1.44,27,-16,12
2022-11-01 11:30:00,-2.5,3.8,447.0,1.49,27,-18,12
2022-11-01 12:30:00,-0.5,4.1,432.0,1.5,20,-22,7
2022-11-01 13:30:00,1.7,3.8,415.0,1.23,20,-18,7
2022-11-01 14:30:00,1.4,3.7,412.0,1.17,20,-12,7
2022-11-01 15:30:00,2.0,3.6,412.0,1.16,7,-8,3
2022-11-01 16:30:00,1.0,3.6,409.0,1.16,7,-7,3
2022-11-01 17:30:00,-0.3,3.5,402.0,1.13,7,-10,3
2022-11-01 18:30:00,-2.7,4.1,408.0,1.34,17,-13,6
2022-11-01 19:30:00,-0.5,3.7,403.0,1.18,17,-14,6
2022-11-01 20:30:00,-0.7,3.5,399.0,1.11,17,-11,6
2022-11-01 21:30:00,2.0,3.5,392.0,1.05,13,-15,5
2022-11-01 22:30:00,1.7,3.3,389.0,0.97,13,-13,5
2022-11-01 23:30:00,0.0,3.9,395.0,1.2,13,-9,5
2022-11-02 00:30:00,0.8,4.9,407.0,1.56,23,-7,9
2022-11-02 01:30:00,-3.0,4.8,414.0,1.63,23,-6,9
2022-11-02 02:30:00,-3.0,5.2,415.0,1.79,23,-12,9
2022-11-02 03:30:00,-2.6,5.1,417.0,1.76,33,-20,18
2022-11-02 04:30:00,-4.5,5.1,419.0,1.81,33,-22,18
2022-11-02 05:30:00,-0.9,4.4,418.0,1.53,33,-24,18
2022-11-02 06:30:00,1.0,3.6,432.0,1.28,27,-23,12
2022-11-02 07:30:00,-0.3,4.1,436.0,1.52,27,-22,12
2022-11-02 08:30:00,-2.7,4.5,436.0,1.66,27,-25,12
2022-11-02 09:30:00,-1.9,4.6,414.0,1.57,20,-25,7
2022-11-02 10:30:00,-0.0,4.6,416.0,1.58,20,-23,7
2022-11-02 11:30:00,2.6,4.6,408.0,1.53,20,-21,7
2022-11-02 12:30:00,-2.2,4.9,413.0,1.66,27,-15,12
2022-11-02 13:30:00,-5.8,4.8,451.0,1.83,27,-14,12
2022-11-02 14:30:00,-4.8,5.7,461.0,2.31,27,-22,12
2022-11-02 15:30:00,-4.8,5.9,464.0,2.43,40,-30,27
2022-11-02 16:30:00,-6.7,2.5,494.0,1.21,40,-36,27
2022-11-02 17:30:00,-0.1,1.5,462.0,0.7,40,-34,27
2022-11-02 18:30:00,0.1,1.6,462.0,0.72,30,-36,15
2022-11-02 19:30:00,-3.9,1.8,505.0,0.91,30,-33,15
2022-11-02 20:30:00,-0.4,1.5,501.0,0.74,30,-39,15
2022-11-02 21:30:00,-1.7,1.4,484.0,0.61,20,-37,7
2022-11-02 22:30:00,-1.0,1.2,471.0,0.52,20,-38,7
2022-11-02 23:30:00,-2.3,0.9,489.0,0.4,20,-38,7
2022-11-03 00:30:00,0.4,0.8,462.0,0.34,27,-38,12
2022-11-03 01:30:00,-2.6,0.9,462.0,0.37,27,-33,12
2022-11-03 02:30:00,1.4,0.7,454.0,0.3,27,-31,12
