timestamp,solar_wind_speed,solar_wind_density,bz_component,sunspot_number
2022-01-01 00:00:00,389.0,5.4,-4.6,48
2022-01-01 01:00:00,390.0,4.7,-0.7,48
2022-01-01 02:00:00,454.0,2.1,-4.8,48
2022-01-01 03:00:00,466.0,2.7,-8.9,48
2022-01-01 04:00:00,454.0,1.9,-4.8,48
2022-01-01 05:00:00,449.0,2.0,-0.3,48
2022-01-01 06:00:00,453.0,2.2,-0.2,48
2022-01-01 07:00:00,447.0,1.4,-2.8,48
2022-01-01 08:00:00,456.0,1.9,4.6,48
2022-01-01 09:00:00,507.0,1.4,5.1,48
2022-01-01 10:00:00,541.0,1.2,1.6,48
2022-01-01 11:00:00,565.0,1.2,1.8,48
2022-01-01 12:00:00,568.0,1.2,1.4,48
2022-01-01 13:00:00,567.0,1.2,1.4,48
2022-01-01 14:00:00,574.0,1.1,0.9,48
2022-01-01 15:00:00,567.0,1.3,-0.3,48
2022-01-01 16:00:00,558.0,1.4,-1.2,48
2022-01-01 17:00:00,542.0,1.6,-1.7,48
2022-01-01 18:00:00,536.0,1.6,-0.8,48
2022-01-01 19:00:00,539.0,1.5,-2.9,48
2022-01-01 20:00:00,524.0,1.6,0.4,48
2022-01-01 21:00:00,560.0,1.8,1.2,48
2022-01-01 22:00:00,559.0,1.8,0.0,48
2022-01-01 23:00:00,559.0,1.9,-1.4,48
2022-01-02 00:00:00,582.0,1.8,-0.4,27
2022-01-02 01:00:00,534.0,1.6,-1.4,27
2022-01-02 02:00:00,547.0,1.8,1.1,27
2022-01-02 03:00:00,546.0,1.8,1.6,27
2022-01-02 04:00:00,530.0,1.8,-0.8,27
2022-01-02 05:00:00,514.0,2.1,-0.3,27
2022-01-02 06:00:00,515.0,2.3,0.4,27
2022-01-02 07:00:00,521.0,2.2,0.3,27
2022-01-02 08:00:00,523.0,2.2,0.2,27
2022-01-02 09:00:00,513.0,2.1,0.5,27
2022-01-02 10:00:00,518.0,2.1,0.0,27
2022-01-02 11:00:00,509.0,1.7,-0.1,27
2022-01-02 12:00:00,503.0,2.1,-0.4,27
2022-01-02 13:00:00,488.0,2.1,0.2,27
2022-01-02 14:00:00,488.0,2.2,-1.0,27
2022-01-02 15:00:00,486.0,1.8,-1.4,27
2022-01-02 16:00:00,503.0,2.4,-2.0,27
2022-01-02 17:00:00,469.0,2.1,-1.2,27
2022-01-02 18:00:00,464.0,2.0,-2.3,27
2022-01-02 19:00:00,470.0,2.1,-2.5,27
2022-01-02 20:00:00,521.0,2.9,-2.2,27
2022-01-02 21:00:00,496.0,2.7,-0.6,27
2022-01-02 22:00:00,461.0,1.9,-0.3,27
2022-01-02 23:00:00,468.0,2.4,-0.3,27
2022-01-03 00:00:00,506.0,4.0,0.3,10
2022-01-03 01:00:00,494.0,3.6,-0.2,10
2022-01-03 02:00:00,502.0,4.0,0.2,10
2022-01-03 03:00:00,526.0,3.4,-2.4,10
2022-01-03 04:00:00,551.0,3.7,-1.2,10
2022-01-03 05:00:00,595.0,2.4,-3.8,10
2022-01-03 06:00:00,601.0,2.3,-4.5,10
2022-01-03 07:00:00,574.0,2.4,-3.9,10
2022-01-03 08:00:00,534.0,2.9,-3.5,10
2022-01-03 09:00:00,540.0,4.9,-2.6,10
2022-01-03 10:00:00,530.0,3.3,-0.1,10
2022-01-03 11:00:00,523.0,3.7,4.1,10
2022-01-03 12:00:00,525.0,4.3,3.7,10
2022-01-03 13:00:00,519.0,3.9,3.1,10
2022-01-03 14:00:00,510.0,2.8,0.2,10
2022-01-03 15:00:00,503.0,2.9,1.3,10
2022-01-03 16:00:00,498.0,3.0,0.4,10
2022-01-03 17:00:00,498.0,3.0,-2.1,10
2022-01-03 18:00:00,490.0,2.7,-1.6,10
2022-01-03 19:00:00,489.0,2.8,-1.9,10
2022-01-03 20:00:00,486.0,2.9,-1.2,10
2022-01-03 21:00:00,477.0,2.8,0.0,10
2022-01-03 22:00:00,468.0,2.9,-1.3,10
2022-01-03 23:00:00,475.0,2.9,-1.9,10
2022-01-04 00:00:00,496.0,2.3,-2.0,10
2022-01-04 01:00:00,493.0,2.2,-1.4,10
2022-01-04 02:00:00,496.0,2.4,-1.4,10
2022-01-04 03:00:00,491.0,2.7,-1.6,10
2022-01-04 04:00:00,475.0,3.2,-2.2,10
2022-01-04 05:00:00,466.0,3.1,-2.0,10
2022-01-04 06:00:00,446.0,3.2,-0.1,10
2022-01-04 07:00:00,446.0,3.1,-1.1,10
2022-01-04 08:00:00,428.0,2.6,-1.8,10
2022-01-04 09:00:00,448.0,3.0,0.3,10
2022-01-04 10:00:00,441.0,2.9,1.1,10
2022-01-04 11:00:00,437.0,2.9,0.8,10
2022-01-04 12:00:00,433.0,3.3,0.4,10
2022-01-04 13:00:00,427.0,3.5,0.3,10
2022-01-04 14:00:00,425.0,3.3,-0.2,10
2022-01-04 15:00:00,412.0,2.2,-0.1,10
2022-01-04 16:00:00,406.0,1.8,-0.4,10
2022-01-04 17:00:00,397.0,2.4,0.4,10
2022-01-04 18:00:00,393.0,2.3,0.0,10
2022-01-04 19:00:00,391.0,1.9,-0.1,10
2022-01-04 20:00:00,389.0,2.0,-0.1,10
2022-01-04 21:00:00,388.0,2.1,1.4,10
2022-01-04 22:00:00,383.0,2.4,1.7,10
2022-01-04 23:00:00,380.0,2.3,0.6,10
2022-01-05 00:00:00,383.0,2.5,-0.3,23
2022-01-05 01:00:00,400.0,3.4,0.3,23
2022-01-05 02:00:00,397.0,3.4,-0.9,23
2022-01-05 03:00:00,393.0,3.5,-1.5,23
2022-01-05 04:00:00,388.0,3.5,-1.5,23
2022-01-05 05:00:00,386.0,3.5,1.0,23
2022-01-05 06:00:00,392.0,3.8,3.8,23
