timestamp,bz_component,solar_wind_density,solar_wind_speed,solar_wind_pressure,kp_index,dst_index,ap_index
2023-12-01 00:30:00,-4.9,8.0,377.0,2.31,43,6,32
2023-12-01 01:30:00,-7.9,15.0,439.0,5.93,43,6,32
2023-12-01 02:30:00,-7.8,19.1,442.0,7.6,43,2,32
2023-12-01 03:30:00,-5.4,19.7,442.0,7.97,37,-7,22
2023-12-01 04:30:00,2.3,19.2,443.0,7.8,37,-9,22
2023-12-01 05:30:00,-2.9,16.3,429.0,6.17,37,-10,22
2023-12-01 06:30:00,-8.6,15.3,426.0,5.64,40,-25,27
2023-12-01 07:30:00,-0.8,12.1,428.0,4.18,40,-39,27
2023-12-01 08:30:00,1.9,10.2,428.0,3.42,40,-33,27
2023-12-01 09:30:00,1.4,8.7,453.0,3.22,67,-15,111
2023-12-01 10:30:00,-14.9,23.8,532.0,13.14,67,-17,111
2023-12-01 11:30:00,-22.3,35.5,532.0,19.73,67,-83,111
2023-12-01 12:30:00,-12.4,47.3,506.0,25.48,60,-107,80
2023-12-01 13:30:00,7.5,32.4,508.0,18.88,60,-108,80
2023-12-01 14:30:00,21.6,25.3,503.0,13.47,60,-95,80
2023-12-01 15:30:00,20.4,27.3,514.0,14.41,47,-87,39
2023-12-01 16:30:00,3.7,23.7,511.0,12.24,47,-88,39
2023-12-01 17:30:00,-10.0,11.2,485.0,5.98,47,-94,39
2023-12-01 18:30:00,2.9,29.4,491.0,14.63,53,-83,56
2023-12-01 19:30:00,7.9,14.0,495.0,6.69,53,-78,56
2023-12-01 20:30:00,-1.8,15.7,508.0,8.09,53,-61,56
2023-12-01 21:30:00,-8.5,13.1,521.0,7.03,50,-80,48
2023-12-01 22:30:00,-11.1,3.1,516.0,1.66,50,-90,48
2023-12-01 23:30:00,-10.1,4.6,511.0,2.52,50,-91,48
2023-12-02 00:30:00,-11.5,4.5,508.0,2.45,53,-99,56
2023-12-02 01:30:00,-8.9,11.2,505.0,6.45,53,-100,56
2023-12-02 02:30:00,-2.2,10.4,499.0,5.99,53,-98,56
2023-12-02 03:30:00,0.6,6.7,495.0,3.73,40,-93,27
2023-12-02 04:30:00,4.0,5.0,485.0,2.84,40,-91,27
2023-12-02 05:30:00,6.0,3.8,480.0,2.19,40,-85,27
