timestamp,bz_component,solar_wind_density,solar_wind_speed,solar_wind_pressure,kp_index,dst_index,ap_index
2023-10-01 00:30:00,1.0,5.0,401,1.62,37,-45,22
2023-10-01 01:30:00,-0.2,4.2,368,1.13,37,-35,22
2023-10-01 02:30:00,-1.9,4.8,384,1.42,37,-30,22
2023-10-01 03:30:00,-0.0,4.0,389,1.28,17,-32,6
2023-10-01 04:30:00,1.1,5.2,379,1.49,17,-29,6
2023-10-01 05:30:00,1.4,4.2,376,1.3,17,-25,6
2023-10-01 06:30:00,-2.6,5.3,396,1.64,17,-22,6
2023-10-01 07:30:00,1.6,3.0,394,1.04,17,-24,6
2023-10-01 08:30:00,4.0,5.2,383,1.46,17,-19,6
2023-10-01 09:30:00,-0.2,5.6,368,1.43,13,-19,5
2023-10-01 10:30:00,-2.2,4.3,365,1.15,13,-21,5
2023-10-01 11:30:00,-4.0,4.3,379,1.24,13,-25,5
2023-10-01 12:30:00,-2.0,4.6,368,1.25,20,-32,7
2023-10-01 13:30:00,-0.9,4.4,368,1.13,20,-33,7
2023-10-01 14:30:00,0.3,4.2,359,1.04,20,-29,7
2023-10-01 15:30:00,1.6,4.1,361,1.02,10,-25,4
2023-10-01 16:30:00,1.7,4.1,361,1.02,10,-23,4
2023-10-01 17:30:00,4.0,4.1,373,1.07,10,-20,4
2023-10-01 18:30:00,2.5,4.1,367,1.06,17,-18,6
2023-10-01 19:30:00,-1.4,3.9,360,0.98,17,-17,6
2023-10-01 20:30:00,-1.3,3.9,380,1.08,17,-22,6
2023-10-01 21:30:00,0.9,3.8,374,1.04,17,-21,6
2023-10-01 22:30:00,1.3,4.2,373,1.17,17,-19,6
2023-10-01 23:30:00,-1.9,4.9,365,1.31,17,-16,6
2023-10-02 00:30:00,-3.6,5.4,364,1.39,27,-19,12
2023-10-02 01:30:00,-4.1,4.8,361,1.25,27,-22,12
2023-10-02 02:30:00,-0.7,4.6,357,1.11,27,-27,12
2023-10-02 03:30:00,-2.3,3.8,357,0.92,30,-22,15
2023-10-02 04:30:00,-3.8,4.8,367,1.23,30,-23,15
2023-10-02 05:30:00,-2.4,4.4,347,1.03,30,-26,15
2023-10-02 06:30:00,-3.4,4.4,356,1.13,10,-27,4
2023-10-02 07:30:00,-0.9,4.0,349,0.91,10,-28,4
2023-10-02 08:30:00,-2.7,4.1,352,0.96,10,-25,4
2023-10-02 09:30:00,-2.3,4.2,354,0.99,13,-26,5
2023-10-02 10:30:00,-1.0,3.9,348,0.89,13,-24,5
2023-10-02 11:30:00,-0.1,3.8,341,0.83,13,-21,5
2023-10-02 12:30:00,2.0,4.8,363,1.17,17,-16,6
2023-10-02 13:30:00,-0.8,4.2,378,1.23,17,-13,6
2023-10-02 14:30:00,0.4,5.9,354,1.46,17,-16,6
2023-10-02 15:30:00,-0.3,5.4,361,1.35,13,-14,5
2023-10-02 16:30:00,-2.1,5.9,371,1.57,13,-13,5
2023-10-02 17:30:00,-2.4,5.9,360,1.49,13,-16,5
2023-10-02 18:30:00,-3.9,5.9,370,1.6,13,-15,5
2023-10-02 19:30:00,-0.6,5.8,363,1.49,13,-18,5
2023-10-02 20:30:00,-1.2,6.1,359,1.54,13,-18,5
2023-10-02 21:30:00,-2.4,5.6,349,1.36,23,-17,9
2023-10-02 22:30:00,-0.5,6.2,346,1.46,23,-17,9
2023-10-02 23:30:00,-2.2,5.9,342,1.39,23,-11,9
2023-10-03 00:30:00,-0.6,5.4,348,1.3,7,-8,3
2023-10-03 01:30:00,-2.0,5.6,347,1.33,7,-7,3
2023-10-03 02:30:00,-1.6,5.1,341,1.16,7,-9,3
2023-10-03 03:30:00,1.0,4.9,339,1.12,20,-11,7
2023-10-03 04:30:00,-0.9,5.0,340,1.14,20,-13,7
2023-10-03 05:30:00,-2.4,4.5,340,1.01,20,-13,7
2023-10-03 06:30:00,0.4,4.2,341,0.95,13,-13,5
2023-10-03 07:30:00,0.5,4.0,336,0.88,13,-11,5
2023-10-03 08:30:00,0.6,3.5,323,0.72,13,-9,5
2023-10-03 09:30:00,-2.1,3.8,321,0.78,10,-9,4
2023-10-03 10:30:00,-1.0,4.0,326,0.81,10,-13,4
2023-10-03 11:30:00,-2.6,4.4,328,0.89,10,-18,4
2023-10-03 12:30:00,-3.6,6.3,340,1.36,20,-12,7
2023-10-03 13:30:00,-6.4,10.9,355,2.53,20,-15,7
2023-10-03 14:30:00,-6.2,11.6,342,2.47,20,-23,7
2023-10-03 15:30:00,-6.0,12.8,340,2.62,23,-30,9
2023-10-03 16:30:00,-5.4,13.4,343,2.8,23,-33,9
2023-10-03 17:30:00,-3.9,10.9,334,2.23,23,-38,9
2023-10-03 18:30:00,-3.7,11.4,330,2.48,20,-36,7
2023-10-03 19:30:00,-3.1,11.5,334,2.37,20,-28,7
2023-10-03 20:30:00,-2.6,4.2,341,0.98,20,-30,7
2023-10-03 21:30:00,-1.5,5.4,351,1.24,20,-26,7
2023-10-03 22:30:00,-2.0,6.9,366,1.85,20,-25,7
2023-10-03 23:30:00,-2.4,6.2,373,1.62,20,-25,7
2023-10-04 00:30:00,-0.9,6.5,369,1.72,27,-21,12
2023-10-04 01:30:00,-1.2,6.4,354,1.53,27,-20,12
2023-10-04 02:30:00,-1.5,6.6,353,1.64,27,-17,12
2023-10-04 03:30:00,-0.8,5.7,343,1.29,23,-20,9
2023-10-04 04:30:00,-4.2,7.0,339,1.5,23,-19,9
2023-10-04 05:30:00,-0.2,5.3,344,1.17,23,-23,9
2023-10-04 06:30:00,-1.4,4.6,345,1.05,27,-21,12
2023-10-04 07:30:00,-4.8,5.5,356,1.32,27,-20,12
2023-10-04 08:30:00,-0.7,4.6,343,1.12,27,-23,12
2023-10-04 09:30:00,-3.1,5.3,345,1.21,20,-18,7
2023-10-04 10:30:00,-4.7,6.1,349,1.49,20,-18,7
2023-10-04 11:30:00,-4.2,8.2,344,1.94,20,-27,7
2023-10-04 12:30:00,-3.8,7.5,344,1.78,17,-32,6
2023-10-04 13:30:00,-1.4,5.2,344,1.15,17,-33,6
2023-10-04 14:30:00,-0.9,5.3,356,1.26,17,-29,6
2023-10-04 15:30:00,0.5,4.6,344,1.03,17,-26,6
2023-10-04 16:30:00,-1.7,4.2,337,0.92,17,-20,6
2023-10-04 17:30:00,-0.2,4.9,358,1.26,17,-18,6
2023-10-04 18:30:00,-0.7,6.2,381,1.61,20,-17,7
2023-10-04 19:30:00,1.8,5.4,370,1.37,20,-16,7
2023-10-04 20:30:00,-5.7,5.2,398,1.94,20,-14,7
2023-10-04 21:30:00,-4.2,7.3,399,2.52,33,-21,18
2023-10-04 22:30:00,0.0,6.5,410,2.56,33,-26,18
2023-10-04 23:30:00,-1.3,6.5,412,2.6,33,-22,18
2023-10-05 00:30:00,-2.1,6.5,414,2.55,40,-16,27
