timestamp,solar_wind_speed,solar_wind_density,bz_component,month,season,hour_interval,bz_negative,is_solar_maximum,is_storm
2019-01-04 02:00:00,58.0,33.0,-1.7,1,hiver,0h-3h,1.0,0,0
2019-01-04 03:00:00,66.0,40.0,0.2,1,hiver,3h-6h,0.0,0,0
2019-01-04 04:00:00,60.0,36.0,-0.8,1,hiver,3h-6h,1.0,0,0
2019-01-04 05:00:00,61.0,37.0,-1.0,1,hiver,3h-6h,1.0,0,0
2019-01-04 06:00:00,60.0,37.0,-2.2,1,hiver,6h-9h,1.0,0,0
2019-01-04 07:00:00,59.0,34.0,-2.2,1,hiver,6h-9h,1.0,0,0
2019-01-04 08:00:00,63.0,36.0,0.1,1,hiver,6h-9h,0.0,0,0
2019-01-04 09:00:00,57.0,35.0,-2.4,1,hiver,9h-12h,1.0,0,0
2019-01-04 10:00:00,61.0,37.0,-1.9,1,hiver,9h-12h,1.0,0,0
2019-01-04 11:00:00,59.0,34.0,0.9,1,hiver,9h-12h,0.0,0,0
2019-01-04 12:00:00,61.0,34.0,-1.5,1,hiver,12h-15h,1.0,0,0
2019-01-04 13:00:00,58.0,36.0,-3.8,1,hiver,12h-15h,1.0,0,0
2019-01-04 14:00:00,61.0,36.0,-4.4,1,hiver,12h-15h,1.0,0,0
2019-01-04 15:00:00,60.0,37.0,-4.3,1,hiver,15h-18h,1.0,0,0
2019-01-04 16:00:00,61.0,36.0,1.8,1,hiver,15h-18h,0.0,0,0
2019-01-04 17:00:00,67.0,40.0,0.3,1,hiver,15h-18h,0.0,0,0
2019-01-04 18:00:00,58.0,36.0,-3.1,1,hiver,18h-21h,1.0,0,0
2019-01-04 19:00:00,60.0,37.0,0.1,1,hiver,18h-21h,0.0,0,0
2019-01-04 20:00:00,59.0,34.0,-1.1,1,hiver,18h-21h,1.0,0,0
2019-01-04 21:00:00,61.0,37.0,-2.3,1,hiver,21h-24h,1.0,0,0
2019-01-04 22:00:00,61.0,37.0,-3.9,1,hiver,21h-24h,1.0,0,0
2019-01-04 23:00:00,60.0,36.0,-6.4,1,hiver,21h-24h,1.0,0,0
2019-01-05 00:00:00,62.0,36.0,-0.3,1,hiver,0h-3h,1.0,0,0
2019-01-05 01:00:00,62.0,38.0,-1.7,1,hiver,0h-3h,1.0,0,0
2019-01-05 02:00:00,59.0,35.0,-0.5,1,hiver,0h-3h,1.0,0,0
2019-01-05 03:00:00,58.0,36.0,-2.3,1,hiver,3h-6h,1.0,0,0
2019-01-05 04:00:00,70.0,41.0,-1.7,1,hiver,3h-6h,1.0,0,0
2019-01-05 05:00:00,61.0,37.0,-4.0,1,hiver,3h-6h,1.0,0,0
2019-01-05 06:00:00,59.0,36.0,3.3,1,hiver,6h-9h,0.0,0,0
2019-01-05 07:00:00,63.0,37.0,2.6,1,hiver,6h-9h,0.0,0,0
2019-01-05 08:00:00,64.0,39.0,-7.1,1,hiver,6h-9h,1.0,0,0
2019-01-05 09:00:00,61.0,37.0,2.1,1,hiver,9h-12h,0.0,0,0
